RunId,iteration,Step,env_type,threshold_mean,threshold_std,observation_radius,n_agents,repression_step,instigator_threshold,dispersal_duration,cell_capacity,max_steps,seed,Mobilized,Dispersing,Sheltered,Demobilized,MobilizedProportion
192,0,99,mixed,0.25,0.1,1,200,1,0.15,3,15,100,,9,0,85,106,0.045
193,0,99,mixed,0.25,0.1,1,200,1,0.15,3,15,100,,10,0,79,111,0.05
194,0,99,mixed,0.25,0.1,1,200,1,0.15,3,15,100,,17,0,74,109,0.085
195,0,99,mixed,0.25,0.1,1,200,1,0.15,3,15,100,,7,0,81,112,0.035
196,0,99,mixed,0.25,0.1,1,200,1,0.15,3,15,100,,12,0,71,117,0.06
197,0,99,mixed,0.25,0.1,1,200,1,0.15,3,15,100,,17,0,70,113,0.085
198,0,99,mixed,0.25,0.1,1,200,1,0.15,3,15,100,,15,0,77,108,0.075
199,0,99,mixed,0.25,0.1,1,200,1,0.15,3,15,100,,15,0,77,108,0.075
200,0,99,mixed,0.25,0.15,0,200,1,0.15,3,15,100,,24,0,72,104,0.12
201,0,99,mixed,0.25,0.15,0,200,1,0.15,3,15,100,,47,0,53,100,0.235
202,0,99,mixed,0.25,0.15,0,200,1,0.15,3,15,100,,44,0,60,96,0.22
203,0,99,mixed,0.25,0.15,0,200,1,0.15,3,15,100,,57,0,42,101,0.285
204,0,99,mixed,0.25,0.15,0,200,1,0.15,3,15,100,,33,0,49,118,0.165
205,0,99,mixed,0.25,0.15,0,200,1,0.15,3,15,100,,23,0,57,120,0.115
206,0,99,mixed,0.25,0.15,0,200,1,0.15,3,15,100,,30,0,58,112,0.15
207,0,99,mixed,0.25,0.15,0,200,1,0.15,3,15,100,,33,0,45,122,0.165
208,0,99,mixed,0.25,0.15,0,200,1,0.15,3,15,100,,22,0,67,111,0.11
209,0,99,mixed,0.25,0.15,0,200,1,0.15,3,15,100,,32,0,54,114,0.16
210,0,99,mixed,0.25,0.15,1,200,1,0.15,3,15,100,,32,0,66,102,0.16
211,0,99,mixed,0.25,0.15,1,200,1,0.15,3,15,100,,20,0,81,99,0.1
212,0,99,mixed,0.25,0.15,1,200,1,0.15,3,15,100,,20,0,66,114,0.1
